version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 1,"domains: general, science, math, social_studies",,,,,,
epidermal,science,"9,10,11,12",8,,MC,5,"A. Within the ____ cells microtubules connect the desmosomes of the interdigitating regions with cone-like depressions of the outer ____ plasma membrane. B. In this paper, ____ characters of leaves in the Thermopsis lupinoides complex, the T. alpina complex and other species of Thermopsis were observed under light microscope.",disperse,*epidermal,template,superconduct
farsighted,science,"9,10,11,12",8,,MC,5,"A. Buying those shares was a very ____ move - they must be worth ten times their original value now. B. I'm so ____, I can't read the newspaper without my glasses.",overproduction,*farsighted,contractile,terrarium
feathery,science,"9,10,11,12",8,,MC,5,A. Dark eyes under ____ black brows. B. The soles of her feet were ____ soft.,*feathery,vanadium,interstellar,humpback
francium,science,"9,10,11,12",8,,MC,5,"A. The half - life of ____ is 2minutes. B. Gallium is solid at room temperature but will melt if held in your hand, caesium (Cs), and ____ (Fr) ?the second rarest naturally occurring element, can also be liquid at or near room temperature.",molar,trioxide,herbaceous,*francium
gibbous,science,"9,10,11,12",8,,MC,5,"A. The planet Jupiter blazes near the ____ moon tonight. B. Tonight, the waxing ____ moon shines in front of the constellation Taurus the Bull.",*gibbous,abrasive,refrigeration,overproduction
greenish,science,"9,10,11,12",8,,MC,5,A. This glass has a ____ tinge. B. She orders a cloudy ____ drink with ice cubes.,uniformly,*greenish,reusable,entropy
horsepower,science,"9,10,11,12",8,,MC,5,"A. I'll need a bit more ____ to get up this hill! B. Rather, automatic ____ was, itself, the first phase of the knowledge revolution.",*horsepower,groin,flagellate,arachnid
hydrostatic,science,"9,10,11,12",8,,MC,5,A. To attain ____ equilibrium the position of the lithosphere adjusts vertically in accordance with its density and thickness. B. The term is sometimes used synonymously with ____ head.,ventral,stratospheric,*hydrostatic,titanium
insertion,science,"9,10,11,12",8,,MC,5,A. Acupuncture involves the ____ of needles into specific points of the body. B. An examination is carried out before the ____ of the tube.,*insertion,egret,sporangium,cortex
latex,science,"9,10,11,12",8,,MC,5,"A. Many hospital workers have become sensitized to the ____ in gloves. B. Although guayule ____ contains fewer proteins than hevea, manufacturers should still wash it well, Cornish said.",aldehyde,embryonic,*latex,covalently
lynx,science,"9,10,11,12",8,,MC,5,A. The ____ pay the price and many die of starvation. B. Research suggests there are fewer than 65Iberian ____ left in the wild.,photosystem,acetate,occupant,*lynx
magnetosphere,science,"9,10,11,12",8,,MC,5,"A. In order for a planet to possess a ____ it need not have an internal magnetic dipole moment. B. However, the net energy transfer between the ____ and the upper atmosphere is downwards.",*magnetosphere,millipede,abrasive,measles
meniscus,science,"9,10,11,12",8,,MC,5,"A. Also there are different ways to keep the ____ steady, such as adjusting stopper rod or slide gate, adjusting cast speed, etc. B. Methods 5cases of discoid ____ proved by arthroscopy and operation were analyzed retrospectively.",carboxylic,frictionless,*meniscus,methyl
microprocessor,science,"9,10,11,12",8,,MC,5,"A. The first ____ as such was produced commercially by Intel in the United States in 1971. B. Originally, the AViiON was built exclusively around a ____ from Motorola.",repulsion,operon,splice,*microprocessor
milankovitch,science,"9,10,11,12",8,,MC,5,"A. These dates change over time due to precession and other orbital factors, which follow cyclical patterns known as ____ cycles. B. ____ pacing seems to best explain glaciation events with periodicity of 100,000, 40,000, and 20,000 years.",beech,cyanide,*milankovitch,nondisjunction
mnemonic,science,"9,10,11,12",8,,MC,5,"A. 'MACRO' is a ____ for the five main techniques:Memory, Aims, Concentration, Review and Organization. B. A COBOL ____ name associated with the console typewriter.",coordination,gazelle,*mnemonic,quantum
mollusk,science,"9,10,11,12",8,,MC,5,"A. There are two types of ____ that are actively venomous. B. Currently accessible for searching are the recent ____ files, the invertebrate paleontology files, the rotifer collection and Gary Rosenbergs molluscan species database etc.",*mollusk,nematode,monochromatic,clone
occluded,science,"9,10,11,12",8,,MC,5,"A. Late opening of an ____ coronary artery may also have some beneficial effect. B. During both periods, ____ accesses were directed to surgical thrombectomy.",*occluded,topaz,unpolarized,submicroscopic
odorless,science,"9,10,11,12",8,,MC,5,"A. Hydrogen is a corlorless, ____ gas. B. Water is not only colorless, but ____ as well.",*odorless,thermodynamic,analogous,impurity
ornamental,science,"9,10,11,12",8,,MC,5,A. The stream was dammed up to form ____ lakes. B. The ____ ironwork lends a touch of elegance to the house.,lamprey,specialization,*ornamental,cycad
overpopulation,science,"9,10,11,12",8,,MC,5,"A. From an ecological point of view, ____ is a disaster no matter where it occurs or spills over. B. At the same time ____ kept agricultural wages at pitiful rates.",hydrate,interbreed,reabsorb,*overpopulation
physiology,science,"9,10,11,12",8,,MC,5,A. She knows ____ from beginning to end. B. His new contribution to the advancement of ____ was well appreciated.,anole,*physiology,gneiss,eudicot
preservative,science,"9,10,11,12",8,,MC,5,A. The wood is treated with ____ to prevent decay. B. He painted the posts with a ____ liquid.,*preservative,polyethylene,triad,triassic
radiocarbon,science,"9,10,11,12",8,,MC,5,A. The most frequently used method is ____ dating. B. To correct this error ____ dates are calibrated by studying the difference between ____ dates and tree-ring dates.,halocarbon,anatomical,stiffness,*radiocarbon
rechargeable,science,"9,10,11,12",8,,MC,5,"A. I have the impression a digicam without ____ batteries might be an incredible pain. B. A built-in, ____ lithium-polymer battery provides up to 16 hours of continuous high-fidelity music playback.",*rechargeable,aneroid,phenolphthalein,feathery
refrigeration,science,"9,10,11,12",8,,MC,5,"A. Lack of ____ turned the milk. B. Expensive energy makes the production, transportation, and ____ of food more expensive.",halocarbon,*refrigeration,inbreed,dynamics
saclike,science,"9,10,11,12",8,,MC,5,A. One of the ____ vesicles that comprise the reticulum. B. The ____ cavity within the body of a coelenterate.,tetrapod,*saclike,stoichiometric,soot
scaly,science,"9,10,11,12",8,,MC,5,"A. I get ____ patches on my scalp. B. Symptoms are ____ skin, itching, inflammation and blisters.",archaebacteria,*scaly,leech,antiseptic
seam,science,"9,10,11,12",8,,MC,5,A. They struck a rich ____ of iron ore. B. The book is a rich ____ of information.,butane,*seam,operon,somatic
semicircular,science,"9,10,11,12",8,,MC,5,"A. The chairs were placed in a ____ arrangement. B. The building was sideways on to me, the light coming from a small ____ window near the top of the wall.",*semicircular,fluke,ethyl,deoxyribose
streetlight,science,"9,10,11,12",8,,MC,5,A. I clashed against the ____ and hurt my head. B. He clashed against the ____ and hurt his head.,*streetlight,feathery,forceps,transcribe
stromatolite,science,"9,10,11,12",8,,MC,5,"A. Some ____ fossils found in the Pilbarra region of northwestern Australia have been carbon-dated at around 3.5 billion years old! B. The exhibit also features ____ rocks, formed by blue-green algae, and a banded ironstone formation.",osmotic,refrigerant,celt,*stromatolite
tweezer,science,"9,10,11,12",8,,MC,5,A. Bee stings should be removed with ____s. B. Remove the bee sting with ____s.,*tweezer,bioremediation,mutualistic,karst
varnish,science,"9,10,11,12",8,,MC,5,A. The ____ takes a few hours to harden. B. She covers her selfishness with a ____ of good manners.,leathery,*varnish,spontaneity,mutualistic
alchemist,science,"9,10,11,12",7,,MC,5,"A. The ____ would burn incense and douse himself in specially prepared perfumes before carrying out his experiments. B. As ____ and visionary, Willner is unique among those who raid the past.",aroma,entropy,*alchemist,aftershock
amethyst,science,"9,10,11,12",7,,MC,5,A. She pinned a large ____ brooch to her lapel. B. The Romans believed the ____ prevented drunkenness and used to drink out of goblets studded with these purple gems.,chromium,interferometry,epidermal,*amethyst
aorta,science,"9,10,11,12",7,,MC,5,"A. The abdominal ____ is normally smaller than the thoracic ____. B. The blood flows in the ascending ____ and the aortic arch are studied. The theoretical models, boundary conditions and calculation conditions are proposed.",neutralize,*aorta,bullfrog,coinage
aphid,science,"9,10,11,12",7,,MC,5,"A. In addition, resistance management for the green apple ____ was suggested. B. The pesticidal effect on ____ of the anaerobic fermentation liquid is studied by field experiment.",millibar,sporophyte,inactivity,*aphid
arn,science,"9,10,11,12",7,,MC,5,ERROR: no sentences found at arn,*arn,hydrolysis,nomenclature,carboniferous
autotrophic,science,"9,10,11,12",7,,MC,5,"A. Besides the well known ____ nitrifiers belonging to the Nitrosomonas and Nitrobacter groups, there are some heterotrophic microorganisms and methanotrophic bacteria that are able to do the job. B. It is characterized of ____ ANAMMOX bacteria transferring NH + - N to N in anaerobic condition.",disinfectant,certification,*autotrophic,ribosomal
biennial,science,"9,10,11,12",7,,MC,5,"A. The workers were strongly against the ____ election. B. The ____ exercise involves more than 100Marines, sailors and airmen, 2ships and dozens of aircraft.",*biennial,gallbladder,substrate,coexist
biodiesel,science,"9,10,11,12",7,,MC,5,"A. More research is needed, but ____ produced with the help of black soldier flies could provide a cheaper alternative fuel. B. Oil-importing countries are considering the production of ____ from physic nut or jatropha grown on degraded land.",mutualistic,positron,fiberglass,*biodiesel
bullfrog,science,"9,10,11,12",7,,MC,5,A. Here the larger male ____ can take his pick from four females. B. African ____ bathes where a sandy expanse lay just weeks before.,*bullfrog,bask,fissionable,resin
certification,science,"9,10,11,12",7,,MC,5,A. He received his ____ as a high school English teacher. B. An employer can demand written ____ that the relative is really ill.,tubular,veterinary,*certification,drainage
colorblind,science,"9,10,11,12",7,,MC,5,"A. Meanwhile, more serious mainstream criticism sees the ____ vision of the republic at stake. B. But despite the well-meaning ring of ____ ideals, you can not demand sameness of language while perpetuating segregated education.",*colorblind,ionize,botanist,refrigerant
compaction,science,"9,10,11,12",7,,MC,5,"A. Considerable solution ____ between grains indicates that cementation did not take place until relatively late in the diagenetic history of the sediment. B. Because of ____ and cementation by carbonate, silicon and argilla , the pore loss of lower cretaceous reservoir bed of southern part of Shiwu depression is 25%?",alkane,paramecia,knead,*compaction
cytochrome,science,"9,10,11,12",7,,MC,5,A. When applied to the newly discovered ____ oxidase blobs in the visual cortex of primates the correlational approach is quite revealing. B. The patient described by Boustany etal had a ____ c oxidase deficiency and a long illness before she eventually died of peritonitis.,weld,*cytochrome,nanometer,snout
disinfect,science,"9,10,11,12",7,,MC,5,A. First use some iodine to ____ the wound. B. Chlorine is used to ____ water.,neural,*disinfect,biogeography,poultry
